stockCode,stockName
095570,AJ네트웍스
027410,BGF
282330,BGF리테일
138930,BNK금융지주
001040,CJ
000120,CJ대한통운
097950,CJ제일제당
051500,CJ프레시웨이
005830,DB손해보험
000990,DB하이텍
000210,DL
375500,DL이앤씨
017940,E1
383220,F&F
114090,GKL
078930,GS
006360,GS건설
007070,GS리테일
012630,HDC
039570,HDC랩스
294870,HDC현대산업개발
009540,HD한국조선해양
267250,HD현대
267270,HD현대건설기계
443060,HD현대마린솔루션
071970,HD현대마린엔진
010620,HD현대미포
322000,HD현대에너지솔루션
042670,HD현대인프라코어
267260,HD현대일렉트릭
329180,HD현대중공업
195940,HK이노엔
014790,HL D&I
204320,HL만도
060980,HL홀딩스
011200,HMM
403870,HPSP
002460,HS화성
298050,HS효성첨단소재
095340,ISC
175330,JB금융지주
035900,JYP Ent.
105560,KB금융
002380,KCC
021320,KCC건설
046440,KG모빌리언스
035600,KG이니시스
060720,KH바텍
030200,KT
033780,KT&G
418470,KT밀리의서재
122450,KX
003550,LG
051900,LG생활건강
032640,LG유플러스
011070,LG이노텍
066570,LG전자
079550,LIG넥스원
006260,LS
010120,LS ELECTRIC
417200,LS머트리얼즈
229640,LS에코에너지
108320,LX세미콘
001120,LX인터내셔널
108670,LX하우시스
383800,LX홀딩스
035420,NAVER
060250,NHN KCP
005940,NH투자증권
063570,NICE인프라
030190,NICE평가정보
010060,OCI홀딩스
178920,PI첨단소재
005490,POSCO홀딩스
218410,RFHIC
034120,SBS
036540,SFA반도체
005090,SGC에너지
018670,SK가스
001740,SK네트웍스
210980,SK디앤디
326030,SK바이오팜
402340,SK스퀘어
100090,SK오션플랜트
475150,SK이터닉스
285130,SK케미칼
017670,SK텔레콤
000660,SK하이닉스
064960,SNT모티브
100840,SNT에너지
036530,SNT홀딩스
067160,SOOP
005610,SPC삼립
077970,STX엔진
002710,TCC스틸
069260,TKG휴켐스
139130,iM금융지주
000500,가온전선
036620,감성코퍼레이션
035250,강원랜드
009450,경동나비엔
013580,계룡건설
010130,고려아연
098460,고영
215000,골프존
339770,교촌에프앤비
007690,국도화학
204620,글로벌텍스프리
011780,금호석유화학
073240,금호타이어
000270,기아
024110,기업은행
130580,나이스디앤비
036800,나이스정보통신
095660,네오위즈
092730,네오팜
002350,넥센타이어
389650,넥스트바이오메디컬
348210,넥스틴
225570,넥슨게임즈
251270,넷마블
000320,노루홀딩스
194700,노바렉스
004370,농심
085670,뉴프렉스
019680,대교
353200,대덕전자
389260,대명에너지
001680,대상
003540,대신증권
108380,대양전기공업
047040,대우건설
003090,대웅
069620,대웅제약
003220,대원제약
078600,대주전자재료
023910,대한약품
001440,대한전선
084010,대한제강
003490,대한항공
005880,대한해운
192080,더블유게임즈
012510,더존비즈온
213420,덕산네오룩스
194480,데브시스터즈
145720,덴티움
303810,동국생명과학
460860,동국제강
086450,동국제약
033500,동성화인텍
000640,동아쏘시오홀딩스
082640,동양생명
049770,동원F&B
013120,동원개발
006040,동원산업
014820,동원시스템즈
111380,동인기연
241560,두산밥캣
034020,두산에너빌리티
131970,두산테스나
176750,듀켐바이오
192650,드림텍
003160,디아이
376300,디어유
068930,디지털대성
042510,라온시큐어
443250,레뷰코퍼레이션
228850,레이언스
277810,레인보우로보틱스
089860,롯데렌탈
280360,롯데웰푸드
286940,롯데이노베이트
004000,롯데정밀화학
005300,롯데칠성
141080,리가켐바이오
058470,리노공업
305090,마이크로디지탈
267980,매일유업
093520,매커스
215200,메가스터디교육
086900,메디톡스
138040,메리츠금융지주
009900,명신산업
070960,모나용평
080160,모두투어
009580,무림P&P
085620,미래에셋생명
006800,미래에셋증권
081660,미스토홀딩스
251120,바이오에프디엔씨
099430,바이오플러스
043150,바텍
035150,백산
007210,벽산
003850,보령
100120,뷰웍스
018290,브이티
413640,비아이매트릭스
090460,비에이치
083650,비에이치아이
335890,비올
082920,비츠로셀
005180,빙그레
062040,산일전기
028050,삼성E&A
006400,삼성SDI
028260,삼성물산
207940,삼성바이오로직스
032830,삼성생명
018260,삼성에스디에스
009150,삼성전기
005930,삼성전자
010140,삼성중공업
016360,삼성증권
029780,삼성카드
000810,삼성화재
003230,삼양식품
005680,삼영전자
005500,삼진제약
038500,삼표시멘트
009470,삼화전기
001820,삼화콘덴서
252990,샘씨엔에스
006730,서부T&D
178320,서진시스템
008490,서흥
086710,선진뷰티사이언스
014620,성광벤드
148150,세경하이테크
001430,세아베스틸지주
306200,세아제강
003030,세아제강지주
058650,세아홀딩스
075580,세진중공업
053450,세코닉스
068270,셀트리온
248070,솔루엠
357780,솔브레인
126720,수산인더스트리
236200,슈프리마
253450,스튜디오드래곤
462870,시프트업
004170,신세계
031430,신세계인터내셔날
031440,신세계푸드
055550,신한지주
243840,신흥에스이씨
257720,실리콘투
099320,쎄트렉아이
050890,쏠리드
352480,씨앤씨인터내셔널
112610,씨에스윈드
090430,아모레퍼시픽
002790,아모레퍼시픽홀딩스
183190,아세아시멘트
122900,아이마켓코리아
214430,아이쓰리시스템
084850,아이티엠반도체
114840,아이패밀리에스씨
001780,알루코
196170,알테오젠
018250,애경산업
310200,애니플러스
260970,에스앤디
005850,에스엘
041510,에스엠
012750,에스원
039440,에스티아이
237690,에스티팜
058610,에스피지
278470,에이피알
230360,에코마케팅
205100,엑셈
036570,엔씨소프트
058970,엠로
097520,엠씨넥스
111770,영원무역
122640,예스티
007310,오뚜기
322310,오로스테크놀로지
271560,오리온
001800,오리온홀딩스
039200,오스코텍
232140,와이씨
122870,와이지엔터테인먼트
316140,우리금융지주
017370,우신시스템
240810,원익IPS
074600,원익QnC
104830,원익머트리얼즈
336570,원텍
069080,웹젠
053580,웹케시
112040,위메이드
033270,유나이티드제약
014830,유니드
036200,유니셈
206650,유바이오로직스
084370,유진테크
000100,유한양행
146060,율촌
296640,이노룰스
214320,이노션
073490,이노와이어리스
272290,이녹스첨단소재
007660,이수페타시스
039030,이오테크닉스
353810,이지바이오
092130,이크레더블
041830,인바디
211050,인카금융서비스
049070,인탑스
051370,인터플렉스
103590,일진전기
271940,일진하이솔루스
317400,자이에스앤디
033240,자화전자
